FID_J5ADCCAE55F1F458CB72D43BBA0,FID_JCEC669FB3C1942769A246F54CA,FID_JD5A3B0BAC9964E2A82FC17D52C,FID_JCFB10F4860614B8C9C6755F87E,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,NO_FARMS17,AVE_SIZE17,CROP_ACR17,AVE_SALE17,Shape_Leng,County,Zone,FID_JC691A5DE512F41389BD7E7BF18,price_region,Count_,AnalysisArea,FID_WI_MUNI_UTILITY_BOUNDARIES_,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng_1,LABEL,FID_COOP_UTILITY_BOUNDARIES_COO,CODE_1,COLOR_1,UTIL_LAB_1,Util_Type_1,PSC_ID_1,AREA_1,PERIMETER_1,ADDRESS_12,ADDRESS_23,CITY_1,STATE_1,ZIP_1,PHONE_1,WEB_1,DATA_DATE_1,GIS_DATA_1,Shape_Leng_12,LABEL_1,FID_WI_IOU_UTILITY_BOUNDARIES_W,CITY_12,CODE_12,UTIL_LAB_12,PSC_ID_12,AREA_12,PERIMETER_12,DATA_DATE_12,GIS_DATA_12,ADDRESS_12_13,ADDRESS_23_24,STATE_12,ZIP_12,PHONE_12,WEB_12,Shape_Leng_12_13,UTIL_TYPE_12,LABEL_12
115,118,118,71,Winnebago County,Wisconsin,55,139,55139,173572,300.0,166994,288.6,154445,2975,1036,3822,58,5784,2188,2470,83952,83042,9866,9944,9972,12033,14187,21920,21429,25560,19747,11159,7576,3601,37.7,36.7,38.9,67875,2.34,9246,11030,13080,19385,1848,4238,41523,2.91,73329,5454,45036,22839,1117.0,139.0,126153.0,113315.0,578.57,957.0,169.0,136192.0,127710.0,1.66402946,Winnebago,6,3,2,176,84.46093877,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
384,80,80,48,Pierce County,Wisconsin,55,093,55093,43559,73.5,41019,69.3,39614,232,151,301,7,623,201,513,20420,20599,2414,2535,2556,3836,4659,4710,5053,6247,4726,2363,1315,605,34.5,34.8,34.3,15002,2.55,1710,1610,3532,4783,459,783,10188,2.97,16132,1130,11115,3887,1259.0,195.0,166276.0,141901.0,592.73,1229.0,190.0,166265.0,121535.0,1.85679885,Pierce,7,4,3,160,100.48163723,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,9,C-14,83,PIERCE-PEPIN ELECTRIC COOPERATIVE SERVICES,Cooperative,4646,607.3642169,196.838034247995,PO Box 420,W7725 USH 10,Ellsworth,WI,54011-0420,715-273-4355,https://www.piercepepin.com,2009-08-10 00:00:00,X,316780.74295,Pierce-Pepin Electric Cooperative Services,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
209,214,87,53,Richland County,Wisconsin,55,103,55103,17678,30.0,18021,30.6,17540,82,46,95,4,360,119,135,9042,8979,1175,1184,1103,1253,862,1866,2021,2709,2603,1619,1087,539,42.8,41.2,44.3,7349,2.41,965,1115,1387,2504,241,385,4852,2.93,8868,1519,5482,1867,1260.0,181.0,111825.0,91627.0,589.3,1103.0,200.0,118484.0,123891.0,1.75845132,Richland,9,2,1,416,0.07896407,37,M-60,31,RICHLAND CENTER ELECTRIC UTILITY,Municipal,5070,5.8538326,34.3579524898528,PO Box 312,450 S Main Street,Richland Center,WI,53581-0312,608-647-3844,https://www.cityutilitiesofrc.com/,2019-02-05 00:00:00, ,55293.8752796,Richland Center Electric Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
138,143,21,11,Columbia County,Wisconsin,55,021,55021,58476,73.5,56833,71.4,54468,717,277,301,29,1444,441,600,28935,27898,3411,3637,3854,3574,2652,6804,7751,9354,7502,4390,2754,1150,41.0,40.0,42.1,22735,2.43,2885,3026,4920,7500,711,1299,15424,2.92,26137,3402,16955,5780,1564.0,197.0,234125.0,137020.0,795.99,1357.0,224.0,243906.0,163809.0,2.49660727,Columbia,10,2,1,416,4.02113814,39,M-38,9,LODI MUNICIPAL LIGHT & WATER UTILITY,Municipal,3160,2.69731653,18.8552165462198, ,130 S Main Street,Lodi,WI,53555,608-592-3246,https://www.lodiutilities.org/,2012-11-12 00:00:00, ,23946.2414051,Lodi Municipal Light & Water Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
407,91,91,55,Rusk County,Wisconsin,55,107,55107,15008,16.1,14755,15.9,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450,45.7,45.0,46.6,6232,2.34,911,972,1074,2125,196,331,4013,2.89,8883,2651,4770,1462,529.0,253.0,70073.0,121366.0,930.86,501.0,272.0,70661.0,107354.0,2.4177567,Rusk,4,4,3,160,67.89348996,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,24,C-02,83,BARRON ELECTRIC COOPERATIVE,Cooperative,378,1484.80243168,286.390621402309,PO Box 40,1434 STH 25 N,Barron,WI,54812-0261,800-322-1008,https://www.barronelectric.com,2020-12-21 00:00:00,X,460901.950014,Barron Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
284,14,14,7,Burnett County,Wisconsin,55,013,55013,15509,17.6,15457,17.6,14163,81,718,52,3,194,67,373,7806,7651,792,765,907,889,561,1288,1617,2450,2619,2138,1104,327,49.0,48.7,49.3,6807,2.25,1016,919,957,2607,230,364,4475,2.71,15278,8471,5576,1231,406.0,206.0,44395.0,91625.0,880.22,369.0,242.0,48965.0,102835.0,2.78488077,Burnett,4,4,3,160,49.66648334,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,24,C-02,83,BARRON ELECTRIC COOPERATIVE,Cooperative,378,1484.80243168,286.390621402309,PO Box 40,1434 STH 25 N,Barron,WI,54812-0261,800-322-1008,https://www.barronelectric.com,2020-12-21 00:00:00,X,460901.950014,Barron Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
161,166,40,22,Grant County,Wisconsin,55,043,55043,52566,44.4,51208,43.3,49655,588,103,312,5,649,221,324,26636,24572,2989,3025,2907,4741,5914,5384,5220,7067,5987,3917,2769,1288,36.3,32.9,40.2,19396,2.44,2475,2778,3748,6201,585,979,12362,2.94,21581,2185,13727,5669,2436.0,241.0,361323.0,166171.0,1183.37,2482.0,242.0,379967.0,180182.0,2.57929132,Grant,9,2,1,416,5.50926365,42,M-46,31,MUSCODA LIGHT & WATER UTILITY,Municipal,4000,12.62219091,20.9161663319941,PO Box 206,109 Second Street,Muscoda,WI,53573-0206,608-739-3390,https://muscoda.com/village-info/utility-information/,2012-11-20 00:00:00, ,33661.3741121,Muscoda Light & Water Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
361,61,61,37,Marathon County,Wisconsin,55,073,55073,136334,86.5,134063,85.0,122446,841,634,7146,32,2992,1223,1741,67308,66755,8771,8886,9320,9305,7100,16363,17712,20965,16653,9675,6247,3066,39.4,38.3,40.4,53176,2.49,6499,7199,11781,17470,1628,3066,36326,3.0,57734,4558,39090,14086,2266.0,211.0,320051.0,172605.0,1576.33,2237.0,212.0,322853.0,184888.0,3.05691312,Marathon,5,3,2,176,42.82667798,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,4,C-22,83,TAYLOR ELECTRIC COOPERATIVE,Cooperative,5838,620.86539075,153.97961772238, ,N1831 STH 13,Medford,WI,54451-9208,715-678-2411,https://www.taylorelectric.org,2012-12-07 00:00:00,X,247806.669517,Taylor Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
278,12,12,6,Buffalo County,Wisconsin,55,011,55011,13534,19.1,13587,19.1,13253,37,38,28,0,237,122,109,6859,6728,775,789,896,866,629,1375,1644,2201,1953,1295,839,325,44.0,43.8,44.2,5708,2.36,831,736,1116,2023,164,280,3808,2.86,6664,956,4413,1295,1061.0,288.0,162746.0,212814.0,709.59,966.0,303.0,164341.0,210203.0,2.26547874,Buffalo,7,4,3,160,0.59564306,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,9,C-14,83,PIERCE-PEPIN ELECTRIC COOPERATIVE SERVICES,Cooperative,4646,607.3642169,196.838034247995,PO Box 420,W7725 USH 10,Ellsworth,WI,54011-0420,715-273-4355,https://www.piercepepin.com,2009-08-10 00:00:00,X,316780.74295,Pierce-Pepin Electric Cooperative Services,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
424,100,100,59,Shawano County,Wisconsin,55,115,55115,41831,46.0,41949,46.1,37254,143,3172,180,13,905,366,821,20921,21028,2443,2648,2725,2723,2013,4382,5285,6589,5461,4104,2482,1094,42.8,42.1,43.6,17019,2.42,2110,2412,3327,5844,524,1036,11566,2.91,20720,3701,12999,4020,1278.0,204.0,183461.0,198858.0,909.4,1139.0,217.0,186192.0,219851.0,2.85573694,Shawano,3,2,1,416,3.07722554,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,8,C-13,83,OCONTO ELECTRIC COOPERATIVE,Cooperative,4348,601.16502429,280.121366307341,PO Box 168,7479 REA Road,Oconto Falls,WI,54154-0168,920-846-2816,https://www.ocontoelectric.com,2009-07-15 00:00:00,X,450812.541764,Oconto Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
418,96,96,57,Sauk County,Wisconsin,55,111,55111,64856,76.4,61976,73.0,58588,357,769,337,13,2675,1156,756,30848,31128,3979,4014,4170,3930,3336,7734,8044,9545,7936,4769,2962,1557,39.9,38.5,41.4,25192,2.43,3082,3805,5191,7832,850,1637,16634,2.94,29708,4516,17690,7502,1665.0,200.0,209776.0,124356.0,849.19,1412.0,212.0,197736.0,133470.0,2.33447792,Sauk,9,4,3,160,0.00361041,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,16,C-23,83,VERNON ELECTRIC COOPERATIVE,Cooperative,6080,926.56492805,392.060786045002, ,110 Saugstad Road,Westby,WI,54667-8426,608-634-3121,https://www.vernonelectric.org,2009-11-23 00:00:00,X,630961.935581,Vernon Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
175,180,49,28,Jefferson County,Wisconsin,55,055,55055,85712,147.1,83686,143.6,78632,681,257,560,18,5555,2479,1059,41638,42048,5235,5590,5537,6648,5436,10074,11056,12747,10321,6103,3441,1498,38.1,37.3,38.9,32117,2.49,3703,4382,7319,10287,954,1879,21872,2.99,35147,3030,22769,9348,1225.0,186.0,181813.0,209024.0,582.74,1098.0,202.0,183898.0,278042.0,1.64892728,Jefferson,10,2,1,416,2.20986367,45,M-75,31,WATERLOO WATER & LIGHT COMMISSION,Municipal,6220,7.14171019,10.6886275882694, ,575 Commercial Avenue,Waterloo,WI,53594-2400,920-478-2260,https://www.waterlooutilities.com/,2012-11-09 00:00:00, ,17190.05311,Waterloo Water & Light Commission,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
324,32,32,18,Eau Claire County,Wisconsin,55,035,55035,106320,164.8,98736,153.0,91946,874,471,3297,31,1804,519,1598,48351,50385,5859,5674,5698,8284,12373,13131,10881,12918,11483,6222,4172,2041,33.6,32.7,34.5,39493,2.38,4887,6326,7324,11014,1026,2409,23534,2.93,42151,2658,25087,14406,1313.0,155.0,128821.0,86287.0,645.2,1069.0,161.0,113983.0,84117.0,1.97680291,Eau Claire,7,4,3,160,1.137e-05,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,14,C-10,83,JACKSON ELECTRIC COOPERATIVE,Cooperative,2718,639.5737572,378.051981146134,PO Box 546,N6868 CTH F,Black River Falls,WI,54615-0546,715-284-5385,https://www.jackelec.com,2009-07-24 00:00:00, ,608416.904379,Jackson Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
221,226,95,57,Sauk County,Wisconsin,55,111,55111,64856,76.4,61976,73.0,58588,357,769,337,13,2675,1156,756,30848,31128,3979,4014,4170,3930,3336,7734,8044,9545,7936,4769,2962,1557,39.9,38.5,41.4,25192,2.43,3082,3805,5191,7832,850,1637,16634,2.94,29708,4516,17690,7502,1665.0,200.0,209776.0,124356.0,849.19,1412.0,212.0,197736.0,133470.0,2.33447792,Sauk,9,2,1,416,0.91384844,66,M-62,0,SAUK CITY ELECTRIC UTILITY,Municipal,5260,2.52767611,9.78871096747942, ,726 Water Street,Sauk City,WI,53583-1597,608-643-8336,https://www.saukcity.net/index.asp?SEC=3783102F-4CEF-4B0A-ADD2-4DE7F4061D24&Type=B_BASIC,2015-01-27 00:00:00, ,15753.4347701,Sauk City Electric Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
75,76,76,45,Outagamie County,Wisconsin,55,087,55087,189859,294.5,176695,274.1,161238,1736,2982,5229,65,6359,2728,2717,88130,88565,11702,12410,12440,12512,10703,23916,24195,28090,19893,10873,6925,3036,37.1,35.9,38.3,69648,2.49,8209,9795,16800,21114,1917,4271,46997,3.02,73149,3501,49738,19910,1170.0,214.0,210085.0,258319.0,644.61,1130.0,210.0,206163.0,233388.0,1.78821912,Outagamie,6,3,2,176,0.00863507,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
344,48,48,27,Jackson County,Wisconsin,55,053,55053,20257,20.2,20449,20.4,18258,400,1271,53,20,519,144,303,10874,9575,1252,1294,1277,1246,1067,2482,2638,3183,2707,1832,1044,427,41.4,40.4,42.6,7843,2.44,1096,1017,1487,2581,275,514,5236,2.93,9727,1884,5917,1926,864.0,278.0,139347.0,196263.0,1000.48,855.0,290.0,135568.0,180293.0,2.77350478,Jackson,7,4,3,160,44.94180418,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,15,C-12,83,OAKDALE ELECTRIC COOPERATIVE,Cooperative,4320,1361.97771941,418.295979703401,PO Box 128,489 N Oakwood Street,Oakdale,WI,54649-0128,608-372-4131,https://www.oakdalerec.com,2009-07-15 00:00:00,X,673183.471527,Oakdale Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
201,206,70,42,Monroe County,Wisconsin,55,081,55081,46889,51.6,44673,49.2,41940,512,510,289,40,1661,764,618,22648,22025,3236,3230,3221,3023,2228,5321,5468,6939,5784,3311,2036,876,39.0,38.7,39.3,17376,2.52,2346,2303,3743,5417,608,1216,11740,3.05,19204,1828,12404,4972,1926.0,175.0,173238.0,104903.0,908.08,1555.0,193.0,165234.0,130380.0,2.19320659,Monroe,7,4,3,160,0.00054049,30,M-14,9,CASHTON MUNICIPAL ELECTRIC & WATER UTILITY,Municipal,970,1.54032396,8.00260598216511,PO Box 188,709 Main Street,Cashton,WI,54619-0188,608-654-5160,http://www.villageofcashton.info/cashton-utilities,2015-02-13 00:00:00, ,12878.9716797,Cashton Municipal Electric & Water Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
